568.211914,	 ff980002, 	 ffffff98
568.251953,	 ff980020, 	 ffffff98
574.666992,	 ff980420, 	 ffffff98
574.806641,	 ff980020, 	 ffffff98
576.535156,	 ff980010, 	 ffffff98
577.151367,	 ff980002, 	 ffffff98
578.229492,	 ff980102, 	 ffffff98
578.422852,	 ff980002, 	 ffffff98
580.718750,	 ff980010, 	 ffffff98
581.334961,	 ff980002, 	 ffffff98
582.505859,	 ff980102, 	 ffffff98
582.744141,	 ff980002, 	 ffffff98
585.084961,	 ff980010, 	 ffffff98
585.868164,	 ff980081, 	 ffffff98
587.082031,	 ff980281, 	 ffffff98
587.355469,	 ff980081, 	 ffffff98
589.268555,	 ff980010, 	 ffffff98
589.884766,	 ff980008, 	 ffffff98
591.455078,	 ff980108, 	 ffffff98
591.675781,	 ff980008, 	 ffffff98
593.535156,	 ff980010, 	 ffffff98
594.318359,	 ff980081, 	 ffffff98
595.405273,	 ff980281, 	 ffffff98
595.662109,	 ff980081, 	 ffffff98
597.784180,	 ff980010, 	 ffffff98
598.217773,	 ff980042, 	 ffffff98
599.472656,	 ff980142, 	 ffffff98
599.707031,	 ff980042, 	 ffffff98
601.984375,	 ff980010, 	 ffffff98
602.767578,	 ff980082, 	 ffffff98
603.761719,	 ff980182, 	 ffffff98
603.974609,	 ff980082, 	 ffffff98
606.167969,	 ff980010, 	 ffffff98
606.784180,	 ff980002, 	 ffffff98
607.774414,	 ff980102, 	 ffffff98
607.995117,	 ff980002, 	 ffffff98
610.401367,	 ff980010, 	 ffffff98
611.184570,	 ff980082, 	 ffffff98
612.033203,	 ff980182, 	 ffffff98
612.234375,	 ff980082, 	 ffffff98
614.617188,	 ff980010, 	 ffffff98
615.050781,	 ff980041, 	 ffffff98
616.559570,	 ff980241, 	 ffffff98
616.805664,	 ff980041, 	 ffffff98
618.967773,	 ff980010, 	 ffffff98
619.400391,	 ff980042, 	 ffffff98
620.382812,	 ff980142, 	 ffffff98
620.600586,	 ff980042, 	 ffffff98
623.267578,	 ff980010, 	 ffffff98
623.883789,	 ff980001, 	 ffffff98
624.489258,	 ff980201, 	 ffffff98
624.732422,	 ff980001, 	 ffffff98
627.583984,	 ff980010, 	 ffffff98
628.017578,	 ff980041, 	 ffffff98
628.758789,	 ff980241, 	 ffffff98
628.992188,	 ff980041, 	 ffffff98
631.900391,	 ff980010, 	 ffffff98
632.517578,	 ff980008, 	 ffffff98
632.970703,	 ff980208, 	 ffffff98
633.193359,	 ff980008, 	 ffffff98
636.100586,	 ff980010, 	 ffffff98
636.534180,	 ff980042, 	 ffffff98
637.685547,	 ff980142, 	 ffffff98
637.894531,	 ff980042, 	 ffffff98
638.633789,	 ff980020, 	 ffffff98
643.122070,	 ff980420, 	 ffffff98
643.295898,	 ff980020, 	 ffffff98
645.033203,	 ff980010, 	 ffffff98
645.816406,	 ff980081, 	 ffffff98
647.282227,	 ff980281, 	 ffffff98
647.450195,	 ff980081, 	 ffffff98
649.366211,	 ff980010, 	 ffffff98
650.150391,	 ff980081, 	 ffffff98
651.632812,	 ff980281, 	 ffffff98
651.832031,	 ff980081, 	 ffffff98
653.700195,	 ff980010, 	 ffffff98
654.316406,	 ff980001, 	 ffffff98
655.644531,	 ff980201, 	 ffffff98
655.875000,	 ff980001, 	 ffffff98
657.916016,	 ff980010, 	 ffffff98
658.349609,	 ff980041, 	 ffffff98
660.170898,	 ff980241, 	 ffffff98
660.382812,	 ff980041, 	 ffffff98
662.233398,	 ff980010, 	 ffffff98
663.016602,	 ff980081, 	 ffffff98
664.746094,	 ff980281, 	 ffffff98
664.750000,	 ff980200, 	 ffffff98
666.516602,	 ff980010, 	 ffffff98
666.949219,	 ff980042, 	 ffffff98
668.573242,	 ff980142, 	 ffffff98
668.784180,	 ff980042, 	 ffffff98
670.732422,	 ff980010, 	 ffffff98
671.516602,	 ff980081, 	 ffffff98
672.991211,	 ff980281, 	 ffffff98
673.176758,	 ff980081, 	 ffffff98
675.099609,	 ff980010, 	 ffffff98
675.715820,	 ff980002, 	 ffffff98
677.039062,	 ff980102, 	 ffffff98
677.260742,	 ff980002, 	 ffffff98
679.349609,	 ff980010, 	 ffffff98
679.782227,	 ff980042, 	 ffffff98
681.491211,	 ff980142, 	 ffffff98
681.713867,	 ff980042, 	 ffffff98
683.616211,	 ff980010, 	 ffffff98
684.232422,	 ff980001, 	 ffffff98
685.778320,	 ff980201, 	 ffffff98
686.033203,	 ff980001, 	 ffffff98
687.815430,	 ff980010, 	 ffffff98
688.598633,	 ff980081, 	 ffffff98
690.034180,	 ff980281, 	 ffffff98
690.294922,	 ff980081, 	 ffffff98
692.166016,	 ff980010, 	 ffffff98
692.598633,	 ff980041, 	 ffffff98
693.776367,	 ff980241, 	 ffffff98
694.002930,	 ff980041, 	 ffffff98
696.515625,	 ff980010, 	 ffffff98
696.949219,	 ff980042, 	 ffffff98
697.866211,	 ff980142, 	 ffffff98
698.094727,	 ff980042, 	 ffffff98
700.865234,	 ff980010, 	 ffffff98
701.298828,	 ff980042, 	 ffffff98
702.751953,	 ff980142, 	 ffffff98
702.998047,	 ff980042, 	 ffffff98
705.215820,	 ff980010, 	 ffffff98
705.832031,	 ff980008, 	 ffffff98
707.645508,	 ff980108, 	 ffffff98
707.732422,	 ff980100, 	 ffffff98
707.749023,	 ff980120, 	 ffffff98
707.868164,	 ff980020, 	 ffffff98
711.426758,	 ff980420, 	 ffffff98
711.576172,	 ff980020, 	 ffffff98
713.415039,	 ff980010, 	 ffffff98
713.848633,	 ff980042, 	 ffffff98
715.284180,	 ff980142, 	 ffffff98
715.532227,	 ff980042, 	 ffffff98
717.748047,	 ff980010, 	 ffffff98
718.181641,	 ff980042, 	 ffffff98
719.670898,	 ff980142, 	 ffffff98
719.882812,	 ff980042, 	 ffffff98
721.948242,	 ff980010, 	 ffffff98
722.381836,	 ff980041, 	 ffffff98
723.168945,	 ff980241, 	 ffffff98
723.385742,	 ff980041, 	 ffffff98
726.148438,	 ff980010, 	 ffffff98
726.931641,	 ff980082, 	 ffffff98
728.277344,	 ff980182, 	 ffffff98
728.482422,	 ff980082, 	 ffffff98
730.431641,	 ff980010, 	 ffffff98
731.047852,	 ff980001, 	 ffffff98
732.077148,	 ff980201, 	 ffffff98
732.296875,	 ff980001, 	 ffffff98
734.665039,	 ff980010, 	 ffffff98
735.448242,	 ff980081, 	 ffffff98
736.657227,	 ff980281, 	 ffffff98
736.917969,	 ff980081, 	 ffffff98
738.864258,	 ff980010, 	 ffffff98
739.481445,	 ff980002, 	 ffffff98
740.621094,	 ff980102, 	 ffffff98
740.808594,	 ff980002, 	 ffffff98
743.147461,	 ff980010, 	 ffffff98
743.581055,	 ff980042, 	 ffffff98
745.421875,	 ff980142, 	 ffffff98
745.665039,	 ff980100, 	 ffffff98
747.514648,	 ff980010, 	 ffffff98
748.130859,	 ff980002, 	 ffffff98
749.394531,	 ff980102, 	 ffffff98
